Gslib file
27  
BHID  
X  
Y  
Z_STRAT_TOP  
Z_MID  
Z_TOP  
Z_BOT  
LENGTH  
RC1  
AT1  
AA1  
ST1  
SR1  
FE1  
TI1  
PP1  
RC3  
AT3  
AA3  
ST3  
SR3  
FE3  
TI3  
PP3  
LITOM  
LPCP  
NORTH_FLAG  
129 588903.3632 9724917.4930 -1.6500 98.3200 98.4700 98.1700 0.3000 54.2507 58.0000 53.1000 4.4500 3.3000 6.0000 1.3900 29.7700 18.6995 52.8910 48.5830 3.8390 2.4120 14.4140 1.2020 27.4410 50 1 1
130 588903.9632 9724927.2530 -0.2500 98.9900 99.2400 98.7400 0.5000 68.4673 51.5000 49.1000 1.9000 1.4000 15.8000 1.6300 27.6500 16.5844 51.2180 48.8840 2.0970 1.2350 17.3550 1.3820 27.3490 50 1 1
130 588903.9632 9724927.2530 -0.7500 98.4900 98.7400 98.2400 0.5000 60.9184 54.1000 51.0000 2.9900 1.9000 11.9000 1.6800 28.6000 19.2409 53.7340 51.0460 2.5950 2.1050 13.8900 1.3820 28.2440 50 1 1
130 588903.9632 9724927.2530 -1.2500 97.9900 98.2400 97.7400 0.5000 50.6543 56.2000 52.3000 5.0400 4.7000 6.4000 1.3900 29.3500 17.3954 52.7130 50.8160 4.5420 3.2910 12.3070 1.1180 27.8190 50 1 1
131 588903.9132 9724952.4530 -0.2500 100.2400 100.4900 99.9900 0.5000 74.9152 54.8000 53.3000 3.0300 0.6000 11.1000 1.4700 28.9400 14.8746 55.3460 52.5060 2.4200 0.3870 11.1920 1.1170 29.3470 50 1 1
131 588903.9132 9724952.4530 -0.7500 99.7400 99.9900 99.4900 0.5000 71.9467 54.7000 50.2000 2.3000 0.6000 12.9000 1.5200 28.6200 14.4211 53.5920 51.0620 2.3900 0.6080 13.7150 1.3130 28.3930 50 1 1
131 588903.9132 9724952.4530 -1.2500 99.2400 99.4900 98.9900 0.5000 65.5449 56.4000 53.0000 3.2600 2.2000 9.0000 1.6900 29.4100 14.5450 54.4130 51.2170 3.2440 1.3670 11.7730 1.4150 28.6990 50 1 1
131 588903.9132 9724952.4530 -1.7500 98.7400 98.9900 98.4900 0.5000 55.3165 54.8000 52.0000 3.0300 2.0000 11.1000 1.4700 28.9400 15.3182 53.3180 48.5760 3.0950 1.7080 13.9940 1.2460 28.1210 50 1 1
131 588903.9132 9724952.4530 -2.2500 98.2400 98.4900 97.9900 0.5000 62.4600 56.0000 51.5000 2.8100 1.9000 9.6200 1.3900 29.5000 15.2744 55.8000 52.5470 2.9310 1.7460 10.3910 1.1190 29.3380 50 1 1
131 588903.9132 9724952.4530 -2.7500 97.7400 97.9900 97.4900 0.5000 58.7556 59.3000 55.8000 2.9300 2.1000 4.6700 1.2600 30.9000 19.7858 57.8350 54.5620 2.7710 1.9700 7.2800 0.9880 30.2220 50 1 1
