BHID,X,Y,Z_STRAT_TOP,Z_MID,Z_TOP,Z_BOT,LENGTH,RCG,ATG,AAG,STG,SRG,FEG,TIG,PPG,LITOM,LPCP,NORTH_FLAG
1569,590870.008,9726302.216,-2.25,93.58,93.83,93.33,0.5,67.3699,52.451754121647795,43.796684854809044,8.725473260313581,8.605069266838752,10.430874544863508,0.842058664180888,26.796015401536888,50,2,1
1569,590870.008,9726302.216,-2.75,93.08,93.33,92.83,0.5,56.079,53.06607179157974,47.345340501792116,5.929008184882042,5.74547263681592,11.836086770448832,0.8573706735141496,27.54404910929225,50,2,1
1569,590870.008,9726302.216,-3.25,92.58,92.83,92.33,0.5,78.018,54.56147523648389,49.425634622779356,5.448042028762594,5.278191840344536,9.843616319310929,0.8488618395754824,28.325709528570325,50,2,1
1569,590870.008,9726302.216,-3.7,92.13,92.33,91.93,0.4,65.0927,52.27572939822745,45.209263588697354,7.753520748102322,7.332088252599754,11.512610753586808,0.6864792518976782,26.97435067219519,50,2,1
1570,590885.5681,9726254.086,-0.25,93.63,93.88,93.38,0.5,93.6698,45.24981530866939,44.017502781045756,0.9915293723270467,0.7346804626464453,28.149384903138476,1.1313114152053279,24.766374220933535,50,2,1
1570,590885.5681,9726254.086,-0.75,93.13,93.38,92.88,0.5,82.3407,52.13150869497101,50.368272494647236,1.1245057183142722,1.0632362003237765,18.114141730638675,1.184084286385712,27.820967674552193,50,2,1
1570,590885.5681,9726254.086,-1.25,92.63,92.88,92.38,0.5,94.095,56.55705510388437,54.45390243902439,1.5254742547425475,1.5154742547425477,11.322023486901536,1.1410027100271003,29.81478771454381,50,2,1
1570,590885.5681,9726254.086,-1.75,92.13,92.38,91.88,0.5,91.5329,56.54631787040507,54.324413997589936,1.9304990664558865,1.9068132988247943,11.234118388033156,1.0773715352621844,29.747826224231947,50,2,1
1570,590885.5681,9726254.086,-2.3,91.58,91.88,91.28,0.6,75.7856,54.12357383196809,49.45422568403497,4.589969215787695,4.573199037811932,12.30443713581472,0.9167701779757633,28.178665511653932,50,2,1
1571,590871.9981,9726379.866,-0.25,94.99,95.24,94.74,0.5,92.7791,52.143130101499146,50.91843199599909,1.5527966320000948,0.6080985265000416,17.02785516350126,1.1714989475000297,28.04990989349972,50,2,1
1571,590871.9981,9726379.866,-0.75,94.49,94.74,94.24,0.5,93.74849999999999,57.5142259876158,56.280166082657324,1.7008876942031073,0.7332334917358677,9.061198099169587,1.0986466983471737,30.39985567769084,50,2,1
